ID,gender,race,ethnicity,age years,ages,genders,baths,lot,dishwash,cwasher,swim
30,M,W,N,67,6767....................................,MF..................,2,5500,1,1,0
31,M,W,N,41,41......................................,M...................,3,220000,1,1,0
32,M,W,N,33,2633....................................,FM..................,2,22000,1,1,0
33,M,W,N,0,28003407................................,MMFF................,1,-6,1,1,0
34,F,B,N,8,563736100808............................,FMMMFF..............,2,1050,1,1,0
35,M,W,N,83,83......................................,M...................,1,500,0,0,0
36,F,B,N,30,30......................................,F...................,1,4800,1,1,0
37,F,O,O,19,434319191715............................,FMMFFF..............,1,-6,0,1,0
38,M,W,N,4,4104....................................,FM..................,1,-6,1,1,0
39,M,W,N,81,8170....................................,MF..................,2,44000,1,1,0
40,F,B,N,79,79......................................,F...................,1,-6,0,0,0
41,F,W,N,71,7173....................................,FM..................,2,10000,0,1,0
42,M,W,N,59,5959....................................,MF..................,2,211200,1,1,0
43,F,O,M,67,676845..................................,FFF.................,1,11000,1,1,0
44,M,B,N,18,41181610................................,FMFM................,2,-6,0,1,0
45,F,W,N,87,87......................................,F...................,1,-6,0,0,0
46,F,W,N,56,4956....................................,MF..................,1,5500,1,1,0
47,M,W,N,61,6164....................................,MF..................,2,5500,1,1,0
48,M,W,N,24,23240300................................,FMMF................,2,-6,1,1,2
49,F,W,O,55,575585..................................,MFF.................,3,7100,1,1,0
50,M,B,N,27,27......................................,M...................,1,-6,1,1,0
51,M,W,M,29,566229..................................,FMM.................,2,11000,1,1,0
52,M,W,M,32,57593230240804042423....................,FMMMFMMFFF..........,3,11000,1,1,0
53,F,W,N,52,525210..................................,FMF.................,1,4000,1,1,1
54,F,W,N,62,6462....................................,MF..................,1,-6,1,1,2
55,F,A,N,87,505187..................................,MFF.................,2,2000,1,1,0
56,F,B,N,16,594216211716070503......................,MFFMMMMMF...........,2,25520,1,1,2
57,F,W,N,77,77......................................,F...................,1,22000,0,1,0
58,M,O,M,24,252425..................................,MMM.................,2,63360,1,1,0
59,F,W,N,78,7867....................................,FF..................,1,44000,1,1,2
60,F,W,N,44,7644....................................,FF..................,1,-6,1,1,0
61,F,W,N,9,4009....................................,FF..................,1,44000,0,1,0
62,F,W,N,77,77......................................,F...................,1,-6,0,1,0
63,M,W,N,6,3336070604..............................,FMMMM...............,2,88000,1,1,0
64,F,W,N,44,441513..................................,FMM.................,2,440000,0,1,0
65,M,B,N,13,485318131200............................,FMFMFM..............,1,5500,1,1,0
66,M,W,N,86,8681....................................,MF..................,1,-6,0,0,0
67,F,W,N,63,661963..................................,FFF.................,2,7500,0,1,0
68,F,W,N,71,7173....................................,FF..................,2,4000,1,1,0
69,M,W,O,53,5348....................................,MM..................,2,5500,1,1,0
70,M,W,N,22,43422217................................,MFMM................,4,14000,0,1,0
71,M,W,N,28,2826....................................,MF..................,1,-6,1,0,0
72,F,W,N,15,385015..................................,MFF.................,2,41800,1,1,0
73,M,W,N,89,8986....................................,MF..................,1,25344,1,1,0
74,M,W,O,31,656631..................................,FMM.................,1,5000,0,1,0
75,F,W,N,30,31303028................................,MMFM................,2,88000,0,1,0
76,F,W,N,57,57......................................,F...................,1,10000,0,1,0
77,F,W,M,59,6159....................................,MF..................,1,792000,0,1,0
78,F,O,N,8,4008....................................,FF..................,3,44000,0,1,0
79,M,W,N,15,43411513................................,MFMF................,1,1500,0,1,0
80,F,A,N,46,464733..................................,FMF.................,2,-6,1,0,0
81,F,W,N,68,6968....................................,MF..................,2,44000,1,1,2
82,M,B,N,27,27......................................,M...................,1,-6,0,0,0
83,F,B,N,21,21000524................................,FMMM................,2,11500,0,1,0
84,M,W,N,71,7169....................................,MF..................,1,999998,0,1,0
85,M,W,M,13,616134151311............................,MFMMMM..............,2,6000,1,1,0
86,F,B,N,23,2349....................................,FF..................,1,625,1,1,0
87,M,W,O,40,67401411060537..........................,FMFFFMF.............,2,11000,1,1,0
88,M,W,N,53,7353....................................,FM..................,2,5500,1,1,0
89,F,W,N,87,5687....................................,MF..................,2,3368,0,1,0
90,F,W,N,15,454415..................................,MFF.................,3,20000,1,1,1
91,F,W,N,3,32300503................................,MFFF................,3,11000,1,1,0
92,M,W,N,19,515119..................................,FMM.................,1,11326,1,1,0
93,M,B,N,64,646654..................................,MFF.................,2,16000,1,1,0
94,F,W,N,10,46501009................................,FMFM................,2,15528,1,1,0
95,F,B,N,7,36140742................................,FMFM................,1,5500,1,1,0
96,F,W,N,32,353201..................................,MFF.................,1,44000,0,0,0
97,F,B,N,22,434122211408............................,MFFFFF..............,1,-6,0,0,0
98,M,O,N,17,391717..................................,MFM.................,1,5500,0,1,0
99,F,B,N,75,424405017573............................,FMFFFM..............,1,5500,1,1,0
100,M,O,O,50,5041....................................,MF..................,1,-6,1,1,0
101,M,W,N,47,474720..................................,MFM.................,3,999998,1,1,0
102,F,W,N,50,39340150................................,MFMF................,1,352000,1,1,0
103,M,W,N,26,582726..................................,FMM.................,2,1738,1,1,0
104,F,W,N,58,58......................................,F...................,1,1100,0,1,0
105,M,W,N,54,57380854................................,FFFM................,2,176000,1,1,0
106,M,B,N,11,33181108................................,FMMM................,2,44000,1,1,1
107,M,B,N,12,361207..................................,FMM.................,1,-6,0,1,0
108,M,W,N,22,49492216................................,MFMF................,3,132000,1,1,0
109,M,A,N,45,45411410................................,MFMF................,2,-6,1,1,2
110,F,O,M,8,55320806................................,MFFM................,1,-6,1,0,0
111,F,B,N,51,51180600................................,FFMF................,2,88000,1,1,0
112,M,A,N,25,29440425................................,FMFM................,2,-6,0,1,1
113,F,W,N,51,5119....................................,FF..................,2,-6,1,0,0
114,M,W,N,49,494619..................................,MFF.................,2,-6,0,1,0
115,M,B,N,9,3416130900..............................,FFMMM...............,2,12000,1,1,0
116,M,W,N,4,43450204................................,FMMM................,2,7132,1,1,0
117,M,W,N,17,474617..................................,FMM.................,3,44000,0,0,0
118,F,W,N,44,46441815................................,MFMF................,3,44000,1,1,0
119,M,O,M,46,46471712................................,MFFF................,1,2800,0,1,0
120,M,W,N,38,3836....................................,MF..................,1,15400,0,1,0
121,F,W,N,52,5254....................................,FM..................,2,64240,1,1,0
122,M,W,N,22,525622..................................,FMM.................,1,6000,1,1,0
123,M,W,N,57,5657....................................,FM..................,3,-6,1,1,1
124,F,W,N,25,2325252423..............................,FFFFF...............,1,11000,1,1,0
125,M,W,N,5,353208070503............................,MFMMMF..............,1,44000,1,1,0
126,M,W,N,73,73......................................,M...................,1,30000,0,1,0
127,F,W,N,27,2827....................................,FF..................,1,-6,0,1,0
128,M,W,O,2,28280200................................,MFMF................,2,33000,0,1,0
129,F,W,N,7,3815070439..............................,FFFMM...............,1,17000,1,1,0
130,M,W,N,27,33271412100907..........................,FMMFMFF.............,2,22000,1,1,2
131,M,W,O,36,7036....................................,FM..................,2,12500,1,1,0
132,F,W,M,32,323308..................................,FMF.................,1,132000,1,1,0
133,M,W,N,34,400234..................................,FFM.................,2,5000,1,1,0
134,M,B,N,52,515652..................................,MMM.................,2,44000,1,1,2
135,F,W,O,68,6862....................................,FM..................,1,-6,1,0,0
136,M,W,N,53,795348..................................,MMF.................,2,1400,1,1,0
137,F,B,N,1,5048151311080301........................,MFFMFFFF............,1,32000,0,1,0
138,F,W,N,3,484103..................................,MFF.................,2,10000,1,1,0
139,F,B,N,26,260224..................................,FMM.................,1,-6,1,1,0
140,F,B,N,38,2138....................................,FF..................,1,-6,1,1,0
141,F,W,N,86,86......................................,F...................,1,-6,0,0,0
142,M,A,N,21,2120....................................,MM..................,1,-6,1,1,0
143,F,W,N,14,40321403................................,MFFF................,1,5500,0,1,0
144,M,W,N,56,56......................................,M...................,1,-6,0,0,0
145,M,O,N,43,3443....................................,FM..................,1,1000,1,1,0
146,F,A,N,41,4341232114..............................,MFMMM...............,1,5500,1,1,0
147,M,W,M,8,39201708................................,FMFM................,3,8500,1,1,0
148,M,W,N,77,7778....................................,MF..................,1,-6,0,0,0
149,F,W,N,31,323100..................................,MFM.................,2,5000,0,1,1
150,F,B,N,15,4415....................................,FF..................,1,-6,1,1,0
151,M,W,O,26,515226231110............................,FMMFFF..............,1,22000,0,1,2
152,M,W,N,49,787249..................................,MFM.................,2,999998,0,1,0
153,F,W,N,22,6162262284..............................,MFMFF...............,3,308000,1,1,0
154,F,W,N,63,6364....................................,FM..................,3,15000,0,1,0
155,M,W,N,44,2844....................................,MM..................,1,-6,1,0,0
156,M,W,N,52,5251....................................,MF..................,3,5000,1,1,0
157,F,W,N,77,77......................................,F...................,1,704000,0,0,0
158,M,W,N,16,4844161108..............................,MFMFM...............,2,999998,1,1,0
159,M,W,N,51,51......................................,M...................,1,-6,1,1,0
160,M,W,N,48,48......................................,M...................,1,11000,1,1,0
161,M,O,O,44,48441106................................,FMFM................,1,12000,0,0,0
162,F,B,N,20,5920....................................,FF..................,1,-6,1,1,0
163,M,W,N,19,496519..................................,FMM.................,1,-6,1,1,0
164,M,O,M,19,382119110933............................,MMMMMF..............,3,132000,1,1,0
165,M,B,N,36,323614055756............................,MMMMFM..............,2,4800,1,1,0
166,M,B,N,60,576024..................................,FMF.................,2,11000,1,1,0
167,M,W,N,61,6157....................................,MF..................,1,66000,1,1,0
169,M,O,O,54,2958575451..............................,MMFMF...............,1,-6,1,0,0
170,M,A,N,34,343109070502............................,MFMMMF..............,1,-6,0,0,0
171,F,W,N,34,403405..................................,MFF.................,1,-6,0,1,0
172,M,W,N,5,43421917130501..........................,MFFMMMF.............,1,10164,1,1,0
173,F,B,N,41,4135201913..............................,FMFMM...............,1,264000,0,1,0
174,F,W,N,25,65272522................................,FFFM................,1,9660,0,1,0
175,F,W,N,24,202402..................................,MFF.................,2,5000,0,1,0
176,F,W,N,86,8663....................................,FF..................,1,1875,1,1,0
177,M,W,N,33,3133....................................,FM..................,1,-6,1,1,0
178,M,W,O,57,57512722................................,MFMM................,2,-6,0,1,0
179,M,W,N,49,493813090904............................,MFFMMM..............,2,176000,1,1,0
180,F,W,N,73,73......................................,F...................,2,-6,1,1,0
181,F,W,N,59,575916..................................,MFM.................,2,1250,0,1,0
182,M,W,N,15,4648151207..............................,FMMFM...............,2,220000,1,1,0
183,M,W,N,67,67......................................,M...................,2,44000,0,1,0
184,M,W,N,25,585925..................................,MFM.................,1,22000,1,1,0
185,M,W,N,50,48502415................................,FMMF................,5,44000,1,1,1
186,M,W,N,44,444313..................................,MFM.................,2,132000,1,1,0
187,M,W,N,55,55552258................................,MFMF................,2,7000,1,1,0
188,F,W,N,7,3707....................................,FF..................,2,132000,0,1,0
189,F,W,N,42,454222..................................,MFM.................,1,5500,1,1,0
190,F,W,N,9,3909070334..............................,MFFFF...............,1,8000,0,1,0
191,M,B,N,24,2224....................................,FM..................,1,44000,0,1,0
192,M,O,M,62,6253....................................,MM..................,1,5500,1,1,1
193,F,W,O,53,59532119................................,MFFM................,1,44000,1,1,0
194,F,W,N,23,6751282623..............................,MFFMF...............,2,111320,1,1,0
195,F,W,N,42,434219171510............................,MFMFFM..............,2,9100,1,1,0
196,M,W,N,35,35350704................................,MFMF................,2,44000,1,1,2
197,M,W,N,1,313201..................................,MFM.................,2,7500,1,1,0
198,F,W,O,37,370660..................................,FFF.................,1,600,1,1,2
199,M,O,N,50,5450....................................,FM..................,2,5500,1,1,0
200,M,B,N,72,72......................................,M...................,2,55000,0,1,0
201,M,W,N,38,28380705................................,FMMF................,1,-6,0,0,0
202,F,W,N,53,4853....................................,MF..................,1,44000,1,1,0
203,F,W,N,9,42390906................................,MFFF................,2,33000,1,1,0
204,M,W,N,54,5854291910060427........................,FMMMFFMF............,2,44000,1,1,0
205,F,W,N,19,45231913................................,FMFM................,2,2274,1,1,3
206,F,W,N,32,3215110348..............................,FMFFM...............,2,44000,1,1,0
207,M,O,M,30,30291007................................,MFFF................,1,-6,0,0,0
208,M,W,M,16,5616....................................,FM..................,2,21600,1,1,2
209,F,W,N,34,3436121109..............................,FMMMF...............,2,5500,1,1,0
210,F,W,N,37,403714110817............................,FFMMMM..............,2,6000,1,1,0
211,M,W,N,60,4960....................................,FM..................,1,11000,1,1,0
212,F,W,N,35,263535..................................,MFM.................,2,-6,1,1,0
213,F,W,N,74,7874....................................,MF..................,2,11000,1,1,0
214,F,O,N,0,262700..................................,FMF.................,1,9000,1,1,2
215,F,B,N,66,6666....................................,FM..................,1,7200,1,1,0
216,F,W,N,62,6662....................................,MF..................,3,132000,1,1,0
217,F,B,N,41,414106..................................,MFF.................,1,-6,0,1,0
218,F,W,N,55,5556....................................,FM..................,2,5000,1,1,0
219,F,W,N,39,394100..................................,FMF.................,1,-6,0,0,0
220,M,W,N,8,41390805................................,MFMF................,3,8283,1,1,0
221,F,W,N,51,4951....................................,MF..................,1,10000,0,1,0
222,F,W,N,38,4438171307..............................,MFMMF...............,1,44000,0,1,0
223,F,W,N,26,2726....................................,MF..................,2,-6,1,1,0
224,F,W,N,74,74......................................,F...................,2,22000,0,1,0
225,F,W,N,77,77......................................,F...................,1,1600,0,1,0
226,M,W,N,33,3324....................................,MF..................,1,-6,0,0,0
227,M,B,N,41,413204..................................,MFM.................,1,-6,1,1,0
228,M,W,N,21,21222121................................,MMMM................,1,-6,1,0,0
229,F,W,N,75,75......................................,F...................,3,10000,1,1,0
230,M,W,N,44,445316..................................,MFF.................,2,7500,0,1,0
231,F,W,N,49,4947....................................,FM..................,2,5000,1,1,1
232,F,W,N,58,5852....................................,FM..................,2,6875,0,1,0
233,M,W,N,15,5815....................................,MM..................,1,1000,1,1,0
234,M,W,M,10,4038131210..............................,MFMMM...............,2,22000,0,1,0
235,F,W,N,36,7336....................................,FF..................,3,5500,1,1,0
236,M,W,N,18,4215134418..............................,FFMFM...............,3,11000,1,1,0
237,F,W,N,2,32280200................................,MFFF................,2,44000,1,1,2
238,M,B,N,17,513017..................................,FFM.................,3,9993,1,1,0
239,F,W,N,46,4650....................................,FM..................,1,6000,0,1,0
240,M,W,M,36,313205024036............................,FMFFMM..............,2,-6,1,1,0
241,M,W,N,47,47472214................................,FMMM................,2,14000,1,1,0
242,M,W,N,56,5256....................................,FM..................,2,5000,1,1,0
243,M,W,N,65,65......................................,M...................,2,5500,1,1,0
244,M,O,N,3,35370302................................,MFMM................,1,5200,1,1,3
245,M,W,N,70,7063....................................,MF..................,3,7500,1,1,2
246,F,W,M,37,37340601................................,FMFF................,3,38500,1,1,0
247,M,B,N,6,2506....................................,FM..................,1,-6,0,1,0
248,F,B,N,27,2706....................................,FM..................,1,22000,0,1,0
249,M,W,N,48,41170348................................,FFMM................,2,2500,0,1,0
250,M,W,N,86,86......................................,M...................,1,7500,0,1,0
251,M,O,M,12,3437141205..............................,FMFMM...............,2,14000,0,1,0
252,M,W,N,64,6461....................................,MF..................,2,176000,1,1,0
253,F,A,N,38,38......................................,F...................,2,9775,1,1,0
254,F,W,N,53,875327..................................,MFF.................,3,5000,1,1,0
255,F,W,N,52,8052....................................,FF..................,4,11000,1,1,0
256,M,W,N,35,35371301................................,MFFF................,2,7800,1,1,0
257,F,W,M,16,353616120908............................,FMFMMF..............,2,33000,0,1,0
258,M,B,N,24,525224..................................,MFM.................,3,600,1,1,1
259,M,W,N,65,6565....................................,FM..................,3,10800,1,1,2
260,F,W,N,73,7368....................................,FM..................,2,11000,0,1,0
261,M,O,N,32,32310402................................,MFMF................,1,22000,1,1,0
262,F,W,N,38,3840....................................,FM..................,2,6000,0,1,0
263,M,W,N,45,414507..................................,FMF.................,2,-6,1,1,2
264,F,W,N,53,5357....................................,FM..................,2,33000,1,1,1
265,F,W,N,50,6050....................................,MF..................,2,220000,0,1,0
266,M,B,N,42,68654217................................,MFMF................,1,-6,1,1,0
267,F,W,N,67,7267....................................,MF..................,3,66000,1,1,2
268,M,O,N,59,8159....................................,FM..................,1,33000,0,1,0
269,F,W,N,47,534710..................................,MFM.................,3,44000,1,1,1
270,M,W,N,70,6470....................................,FM..................,2,5500,1,1,0
272,M,W,M,42,42381712................................,MFFF................,2,10400,1,1,0
273,M,W,N,84,8481....................................,MF..................,1,-6,0,0,0
274,F,W,N,20,4620....................................,FF..................,1,44000,1,1,0
275,F,B,N,77,7977....................................,MF..................,1,220000,1,1,2
276,M,W,N,43,4343110907..............................,MFFFM...............,3,44000,1,1,0
277,M,W,N,60,60......................................,M...................,2,-6,1,1,0
278,F,O,N,35,376435..................................,MFF.................,2,44000,1,1,0
279,M,W,N,45,454120181615121009060504................,MFFFFFMMFFFF........,2,10000,1,1,0
280,M,W,N,15,47191547................................,MFMF................,3,3500,1,1,0
281,F,W,N,48,48481511................................,FMMF................,2,6250,0,1,0
282,M,W,N,28,28......................................,M...................,1,-6,1,0,0
283,M,W,N,21,20212022................................,MMMM................,1,-6,1,1,0
284,F,W,N,40,40441309................................,FMFM................,2,16000,1,1,0
285,F,O,M,50,6050....................................,MF..................,2,-6,0,0,0
286,M,W,N,71,7169....................................,MF..................,2,220000,1,1,0
287,M,W,N,36,615936..................................,MFM.................,2,44000,1,1,1
288,F,W,N,64,646438..................................,MFM.................,3,14000,1,1,0
289,F,W,O,55,5184735528..............................,MFMFM...............,2,6000,1,1,0
290,M,B,N,35,271107050035............................,FMFFMM..............,1,-6,0,1,0
291,F,W,N,55,5568....................................,FM..................,2,999998,1,1,0
292,F,B,N,83,83......................................,F...................,2,8400,1,1,0
293,M,W,N,68,6869....................................,MF..................,1,22000,0,1,0
294,M,W,N,28,485028..................................,FMM.................,1,44000,0,1,0
295,F,W,N,36,3634....................................,FM..................,3,176000,1,1,0
296,F,W,O,61,6361....................................,MF..................,1,-6,1,1,0
297,M,W,N,42,4220....................................,MM..................,1,-6,0,0,0
298,M,W,N,31,31......................................,M...................,1,-6,0,0,0
299,M,W,N,71,6971....................................,FM..................,1,4800,1,1,0
300,M,W,M,22,22......................................,M...................,1,5500,0,1,0
301,F,W,M,8,4744232211080539........................,MFFMMFFM............,2,1200,1,1,0
302,M,W,N,58,58581715................................,MFFM................,2,6500,1,1,0
303,F,W,N,84,87845318................................,MFFM................,2,44000,1,1,0
304,F,W,N,68,687035..................................,FMM.................,3,220000,1,1,0
305,F,W,N,56,566515..................................,FMM.................,2,10000,1,1,0
306,F,W,N,23,2326....................................,FM..................,2,33000,1,1,1
307,M,W,N,61,6361....................................,FM..................,2,88000,1,1,0
308,M,W,N,66,51662022................................,FMMM................,3,220000,0,1,0
309,F,B,N,69,30310369................................,MFMF................,1,-6,0,0,0
310,M,W,N,43,434216..................................,MFM.................,2,1500,0,1,0
311,M,W,N,74,7473....................................,MF..................,1,4400,1,1,0
312,M,W,N,52,535215..................................,FMM.................,2,11000,1,1,0
313,M,W,N,51,747251..................................,MFM.................,2,88000,1,1,0
314,M,W,M,37,3740120817..............................,MFMMF...............,2,44000,1,1,1
315,F,B,N,57,5750....................................,FM..................,2,44000,1,1,0
316,F,W,N,18,18212020191818181818....................,MFMMFMFFFF..........,2,999998,1,1,0
317,F,A,N,46,42460903................................,MFFF................,3,-6,1,1,0
318,F,W,M,49,5849221826..............................,MFMMF...............,1,4200,0,1,0
319,F,A,N,19,491944..................................,MFF.................,1,-6,1,1,0
320,F,W,M,28,282802..................................,MFM.................,3,220000,1,1,0
321,M,W,N,35,363514110907............................,FMMMMM..............,2,44000,1,1,0
322,F,W,N,70,704835..................................,FFF.................,2,22000,0,1,0
323,F,W,N,10,364011081210............................,FMMMMF..............,4,33000,1,1,0
324,M,W,N,84,8479....................................,MF..................,2,2500,0,1,0
325,F,B,N,59,59......................................,F...................,1,-6,1,1,0
326,F,N,N,0,26040026................................,FMFM................,2,22000,0,1,0
327,M,W,N,33,33100807................................,MFFF................,2,352000,0,1,0
328,M,O,M,49,4943151005..............................,MFMFF...............,2,4000,0,1,0
329,M,O,N,1,3631090501..............................,MFFFM...............,2,88000,0,1,0
330,M,W,N,71,716950..................................,MFM.................,1,1100,1,1,0
331,M,W,M,13,3917151312..............................,FMFMM...............,1,-6,0,1,0
332,F,W,N,30,2630....................................,MF..................,2,8070,1,1,0
333,F,W,O,60,542931070360............................,FFMFFF..............,1,8700,1,1,0
334,F,W,N,16,65161410................................,FFMF................,1,2500,0,1,0
335,F,W,N,48,48......................................,F...................,1,-6,0,1,0
336,M,W,O,74,39477474................................,FMFM................,3,220000,1,1,0
337,M,W,N,48,4841....................................,MF..................,1,792000,0,1,0
338,F,W,N,43,4845066443131005........................,FMFFFFMF............,1,44000,0,1,0
339,M,B,N,41,41411310................................,FMFF................,1,9000,1,1,0
340,F,W,M,60,6039151337171264........................,FMMMMMFM............,1,-6,0,0,0
341,M,W,N,53,5355....................................,MF..................,1,999998,0,1,0
342,F,W,O,4,43430804................................,MFFF................,2,44000,0,1,0
343,M,O,N,3,38390301................................,MFMF................,1,5000,1,1,0
344,F,W,N,22,47492218................................,MFFF................,1,44000,1,1,0
345,M,W,N,66,6661....................................,MF..................,1,14400,0,1,0
346,F,W,N,83,8783....................................,MF..................,1,44000,0,1,0
347,M,W,N,49,495015..................................,MFM.................,2,12000,1,1,0
348,F,W,N,77,7781....................................,FM..................,1,11700,0,1,0
349,F,B,N,51,5123....................................,FM..................,2,30000,1,1,0
350,M,W,N,4,3432050400..............................,MFMMM...............,2,44000,1,1,0
351,M,W,N,0,3028040200..............................,MFFMM...............,2,5000,0,1,0
352,M,B,N,55,52240055................................,FFMM................,2,88000,1,1,0
353,F,B,N,17,3417....................................,FF..................,1,7200,0,1,0
354,M,W,N,32,3232....................................,FM..................,2,-6,1,1,0
355,F,B,N,29,290702..................................,FFM.................,1,44000,0,1,0
356,F,W,M,85,8559....................................,FF..................,1,-6,0,0,0
357,F,W,O,51,4951....................................,MF..................,1,132000,1,1,0
358,M,W,N,44,443317090845............................,MFFFFF..............,2,12000,1,1,0
359,M,W,N,33,33310829................................,MFMM................,2,11000,1,1,0
360,M,W,N,46,46441816................................,MFMF................,2,44000,1,1,0
361,M,W,O,10,465427231073............................,FMMFMF..............,2,8000,1,1,0
362,F,B,N,33,331612030100............................,FFMMFF..............,1,-6,0,1,0
363,M,W,N,49,495018..................................,MFF.................,2,12000,1,1,1
364,M,W,N,29,292726..................................,MFM.................,2,5000,0,1,0
365,M,W,N,28,5526215228..............................,FMMMM...............,3,999998,1,1,0
366,M,A,N,19,19191919................................,MMMM................,1,-6,1,1,0
367,F,O,N,43,504315..................................,MFM.................,2,88000,1,1,0
368,F,W,N,76,7693....................................,FF..................,3,44000,1,1,0
369,M,A,N,16,4318454416..............................,FFMFM...............,2,44000,1,1,2
370,F,W,N,60,6060....................................,MF..................,2,5500,0,1,0
371,F,B,N,31,3231....................................,MF..................,2,63750,0,1,0
372,F,W,N,49,5149....................................,MF..................,2,15000,1,1,0
373,M,W,N,61,61......................................,M...................,1,22500,0,1,0
374,M,W,N,29,2930....................................,MF..................,4,44000,1,1,2
375,M,W,N,58,5852....................................,MF..................,1,132000,1,1,0
376,F,W,N,17,484717..................................,MFF.................,3,9462,1,1,0
377,F,W,N,0,312500..................................,MFF.................,1,5500,0,1,0
378,M,W,N,74,727448..................................,FMM.................,2,88000,1,1,0
380,M,P,N,7,3637070466..............................,FMMMF...............,8,19000,0,1,0
381,M,W,O,65,6565....................................,FM..................,1,22000,1,1,0
382,F,B,N,29,41290906030100..........................,MFMFMFF.............,1,-6,1,0,0
383,F,O,M,53,53261952................................,FFFM................,2,77000,1,1,0
384,F,W,N,39,39480804................................,FMFF................,2,2000,1,1,0
385,F,A,N,65,6765....................................,MF..................,1,-6,1,1,0
386,F,W,N,30,3033....................................,FM..................,2,11500,1,1,0
387,F,W,N,8,40351009080706030201....................,FMMMFMFMFM..........,2,44000,0,1,0
388,M,W,M,24,240222..................................,MFF.................,2,-6,0,0,0
389,F,W,N,69,69......................................,F...................,2,57200,1,1,0
390,F,B,N,86,86......................................,F...................,1,-6,0,1,0
391,M,W,N,65,6865....................................,FM..................,1,7000,1,1,0
392,F,W,N,58,5857....................................,FM..................,2,30000,1,1,1
393,F,W,N,3,36340603................................,FMFF................,2,44000,1,1,0
394,F,W,N,51,51542118................................,FMMM................,5,30000,0,1,0
395,F,W,N,74,7974....................................,MF..................,2,22000,0,1,0
396,M,W,N,60,6058....................................,MF..................,2,44000,0,1,0
397,M,O,M,41,41191439................................,MFMF................,2,11000,1,1,2
398,F,W,N,15,45461512................................,FMFF................,2,1800,1,1,0
399,M,W,M,44,45441412................................,FMMF................,3,2500,0,1,0
400,M,B,N,4,333104..................................,MFM.................,1,7200,1,1,2
401,F,W,N,7,35340907................................,FMFF................,1,2200,1,1,0
402,F,W,N,49,44492117................................,MFMF................,3,-6,1,1,0
403,M,W,N,0,230026..................................,FMM.................,1,3750,0,1,0
404,M,O,N,32,30321009................................,FMMM................,1,44000,1,1,0
405,M,O,O,24,50422423................................,FMMF................,2,-6,1,1,0
406,F,W,N,77,8377....................................,MF..................,1,5375,1,1,0
407,M,W,N,51,735051..................................,FFM.................,2,14557,1,1,0
408,F,W,N,4,38320904................................,MFMF................,2,44000,0,1,0
409,M,O,M,4,2827100412..............................,MFMMF...............,1,4800,1,1,0
410,F,W,N,43,554317..................................,MFM.................,2,242000,1,1,0
411,F,W,N,59,5951....................................,FM..................,2,15725,1,1,0
412,F,W,N,11,7113110742..............................,MFFMF...............,1,22000,1,1,0
413,M,W,N,52,5052....................................,FM..................,4,264000,0,1,0
414,F,W,N,34,633429..................................,FFM.................,2,44000,1,1,2
415,M,W,N,64,6164....................................,FM..................,1,88000,1,1,0
416,F,W,N,65,6546....................................,FF..................,2,33000,1,1,2
417,F,O,O,42,704205..................................,MFF.................,1,44000,1,1,0
418,M,O,O,58,5855....................................,MF..................,2,88000,0,1,0
419,F,W,N,37,4337....................................,MF..................,2,-6,1,1,0
420,M,W,N,28,262800..................................,FMM.................,2,2500,1,1,0
